ID,division,crime_category,crime,report_count
31246,D32,Property Offense,Break & Enter,16
31247,D32,Other,Other,27
31248,D32,Property Offense,Theft,4
31249,D32,Property Offense,Break & Enter,7
31250,D31,Other,Other,25
31251,D33,Property Offense,Theft,50
31252,D32,Personal Offense,Assault,211
31253,D32,Personal Offense,Robbery,6
31254,D32,Property Offense,Break & Enter,4
31255,D32,Other,Other,7
31256,D32,Property Offense,Theft,13
31257,D32,Property Offense,Break & Enter,2
31258,D31,Other,Other,12
31259,D31,Other,Other,50
31260,D31,Other,Other,11
31261,D31,Other,Other,11
31262,D31,Other,Other,2
31263,D31,Other,Other,57
31264,D31,Other,Other,8
31265,D31,Other,Other,37
31266,D31,Other,Other,1
31267,D31,Other,Other,1
31268,D31,Other,Other,3
31269,D31,Other,Other,1
31270,D32,Controlled Substances,Other,6
31271,D32,Controlled Substances,Other,2
31272,D32,Controlled Substances,Other,2
31273,D32,Controlled Substances,Other,1
31274,D32,Controlled Substances,Other,3
31275,D32,Controlled Substances,Other,6
31276,D32,Controlled Substances,Other,1
31277,D32,Controlled Substances,Other,2
31278,D32,Controlled Substances,Other,1
31279,D32,Controlled Substances,Other,2
31280,D32,Controlled Substances,Other,3
31281,D32,Controlled Substances,Other,6
31282,D32,Property Offense,Theft,20
31283,D32,Property Offense,Theft,78
31284,D32,Property Offense,Theft,122
31285,D32,Property Offense,Theft,30
31286,D32,Property Offense,Theft,164
31287,D32,Property Offense,Theft,49
31288,D32,Property Offense,Theft,44
31289,D32,Property Offense,Theft,29
31290,D32,Property Offense,Theft,66
31291,D32,Property Offense,Theft,81
31292,D32,Property Offense,Theft,1
31293,D32,Property Offense,Theft,10
31294,D32,Property Offense,Theft,59
31295,D32,Property Offense,Theft,172
31296,D32,Property Offense,Theft,34
31297,D32,Property Offense,Theft,85
31298,D32,Property Offense,Theft,44
31299,D32,Property Offense,Theft,45
31300,D32,Property Offense,Theft,80
31301,D32,Other,Other,3
31302,D32,Property Offense,Break & Enter,5
31303,D32,Personal Offense,Robbery,10
31304,D32,Property Offense,Theft,3
31305,D33,Property Offense,Theft,2
31306,D32,Property Offense,Break & Enter,2
31307,D32,Other,Other,23
31308,D32,Property Offense,Break & Enter,5
31309,D32,Personal Offense,Robbery,3
31310,D32,Property Offense,Theft,12
31311,D32,Personal Offense,Assault,22
31312,D33,Property Offense,Theft,21
31313,D32,Property Offense,Break & Enter,2
31314,D32,Property Offense,Theft,3
31315,D32,Personal Offense,Robbery,6
31316,D33,Property Offense,Theft,2
31317,D32,Personal Offense,Assault,75
31318,D32,Other,Other,68
31319,D32,Property Offense,Break & Enter,4
31320,D32,Property Offense,Theft,10
31321,D32,Personal Offense,Robbery,4
31322,D33,Property Offense,Break & Enter,4
31323,D32,Personal Offense,Assault,110
31324,D32,Other,Other,4
31325,D32,Property Offense,Break & Enter,1
31326,D32,Property Offense,Break & Enter,1
31327,D32,Property Offense,Theft,13
31328,D32,Personal Offense,Robbery,21
31329,D33,Property Offense,Break & Enter,10
31330,D32,Personal Offense,Assault,77
31331,D32,Other,Other,22
31332,D32,Property Offense,Break & Enter,4
31333,D32,Property Offense,Break & Enter,2
31334,D32,Property Offense,Theft,4
31335,D32,Personal Offense,Sexual Violation,10
31336,D33,Property Offense,Break & Enter,2
31337,D32,Personal Offense,Assault,53
31338,D32,Other,Other,130
31339,D32,Property Offense,Break & Enter,11
31340,D32,Property Offense,Fraud,56
31341,D32,Property Offense,Theft,11
31342,D32,Personal Offense,Sexual Violation,7
31343,D33,Property Offense,Break & Enter,9
31344,D32,Personal Offense,Assault,92
31345,D32,Other,Other,30
31346,D32,Property Offense,Break & Enter,3
31347,D32,Property Offense,Fraud,52
31348,D32,Property Offense,Theft,9
31349,D32,Personal Offense,Sexual Violation,18
31350,D32,Other,Other,97
31351,D33,Property Offense,Break & Enter,6
31352,D32,Personal Offense,Attempt Murder,1
31353,D33,Property Offense,Break & Enter,21
31354,D32,Other,Other,31
31355,D32,Property Offense,Break & Enter,20
31356,D32,Property Offense,Fraud,52
31357,D32,Property Offense,Theft,14
31358,D32,Personal Offense,Sexual Violation,3
31359,D33,Property Offense,Break & Enter,2
31360,D32,Property Offense,Fraud,12
31361,D32,Property Offense,Break & Enter,6
31362,D32,Property Offense,Theft,29
31363,D32,Personal Offense,Sexual Violation,7
31364,D33,Property Offense,Break & Enter,4
31365,D32,Property Offense,Fraud,96
31366,D32,Property Offense,Break & Enter,2
31367,D32,Property Offense,Theft,36
31368,D32,Personal Offense,Sexual Violation,5
31369,D33,Property Offense,Break & Enter,6
31370,D32,Property Offense,Fraud,21
31371,D32,Property Offense,Break & Enter,4
31372,D32,Property Offense,Theft,129
31373,D32,Personal Offense,Sexual Violation,9
31374,D33,Property Offense,Break & Enter,8
31375,D32,Property Offense,Fraud,63
31376,D32,Property Offense,Break & Enter,1
31377,D32,Property Offense,Theft,150
31378,D32,Personal Offense,Sexual Violation,20
31379,D33,Property Offense,Break & Enter,12
31380,D32,Property Offense,Fraud,39
31381,D32,Property Offense,Break & Enter,4
31382,D32,Property Offense,Theft,2
31383,D32,Personal Offense,Sexual Violation,4
31384,D33,Property Offense,Break & Enter,6
31385,D32,Property Offense,Fraud,74
31386,D32,Property Offense,Break & Enter,5
31387,D32,Property Offense,Theft,138
31388,D32,Personal Offense,Sexual Violation,4
31389,D33,Property Offense,Break & Enter,1
31390,D32,Property Offense,Fraud,55
31391,D32,Property Offense,Break & Enter,23
31392,D32,Property Offense,Theft,57
31393,D32,Personal Offense,Sexual Violation,1
31394,D32,Personal Offense,Sexual Violation,17
31395,D32,Personal Offense,Sexual Violation,23
31396,D32,Personal Offense,Sexual Violation,2
31397,D32,Personal Offense,Sexual Violation,13
31398,D32,Personal Offense,Sexual Violation,15
31399,D32,Personal Offense,Sexual Violation,8
31400,D32,Personal Offense,Sexual Violation,3
31401,D32,Personal Offense,Sexual Violation,10
31402,D32,Traffic Violation,Other,7
31403,D32,Traffic Violation,Other,9
31404,D32,Traffic Violation,Other,4
31405,D32,Traffic Violation,Other,1
31406,D32,Traffic Violation,Other,10
31407,D32,Traffic Violation,Other,1
31408,D32,Traffic Violation,Other,2
31409,D32,Traffic Violation,Other,2
31410,D32,Traffic Violation,Other,8
31411,D32,Traffic Violation,Other,2
31412,D32,Traffic Violation,Other,1
31413,D32,Traffic Violation,Other,9
31414,D32,Traffic Violation,Other,11
31415,D32,Traffic Violation,Other,6
31416,D32,Traffic Violation,Other,4
31417,D32,Traffic Violation,Other,4
31418,D32,Traffic Violation,Other,4
31419,D32,Traffic Violation,Other,12
31420,D32,Traffic Violation,Other,16
31421,D32,Other,Other,10
31422,D32,Other,Other,24
31423,D32,Other,Other,16
31424,D32,Other,Other,3
31425,D32,Other,Other,6
31426,D32,Personal Offense,Attempt Murder,3
31427,D33,Property Offense,Break & Enter,7
31428,D32,Other,Other,2
31429,D32,Personal Offense,Attempt Murder,1
31430,D32,Property Offense,Break & Enter,5
31431,D32,Property Offense,Theft,517
31432,D33,Property Offense,Break & Enter,1
31433,D32,Other,Other,9
31434,D32,Property Offense,Fraud,8
31435,D32,Personal Offense,Other,7
31436,D32,Property Offense,Break & Enter,14
31437,D32,Property Offense,Theft,87
31438,D33,Property Offense,Break & Enter,7
31439,D32,Property Offense,Fraud,57
31440,D32,Other,Other,3
31441,D32,Property Offense,Fraud,103
31442,D32,Property Offense,Break & Enter,4
